POPULATION_NAME,FISCAL_YEAR,LESS7_CT,LESS7_CT_ANNOT,BETWEEN_8AND30_CT,BETWEEN_8AND30_CT_ANNOT,MORE30_CT,MORE30_CT_ANNOT,NO_STEP_CT,NO_STEP_CT_ANNOT,MIN_DAYS,MAX_DAYS,MEAN_DAYS,MEDIAN_DAYS,BENE_COUNT,BENE_COUNT_ANNOT
Statewide,2018,14169,,1909,,1400,,15712,,0,365,11.67373835,1,13196,
Statewide,2019,14030,,1704,,1033,,14813,,0,359,9.494489147,0,12890,
Sutter,2015,40,,,1,,1,,1,0,87,7.404255319,0,43,
Sutter,2016,30,,,1,,1,33,,0,171,8.34375,1,28,
Sutter,2017,57,,,1,,1,69,,0,183,9.294117647,1,40,
Sutter,2018,63,,16,,,1,,2,0,125,9.790123457,4,67,
Sutter,2019,61,,14,,,1,,2,0,262,13.56578947,3,60,
Tehama,2015,12,,,1,,1,,1,0,103,17.3125,6.5,16,
Tehama,2016,13,,,1,,1,17,,0,64,12.88235294,2,18,
Tehama,2017,15,,,1,0,,,2,0,15,3.941176471,1,14,
Tehama,2018,,1,,1,,1,13,,0,101,20.25,10.5,12,
Tehama,2019,,1,,1,0,,,1,1,8,4.333333333,4,,1
Trinity,2015,,1,,1,0,,0,,4,20,12,12,,1
Trinity,2016,0,,,1,0,,,1,8,8,8,8,,1
Trinity,2017,,1,,1,,1,,1,0,33,12.66666667,7.5,,1
Trinity,2018,,1,0,,,1,,1,1,285,95.66666667,1,,1
Tulare,2015,141,,,1,,1,,1,0,100,3,0,108,
Tulare,2016,98,,,1,,1,101,,0,149,3.15,0,81,
Tulare,2017,103,,,1,,1,113,,0,235,9.123893805,0,100,
Tulare,2018,156,,,1,,1,164,,0,289,6.957317073,0,128,
Tulare,2019,112,,,1,,1,115,,0,312,9.426086957,0,102,
Tuolumne,2015,27,,,1,,1,,1,0,29,3,0,22,
Tuolumne,2016,16,,,1,,1,21,,0,210,19.14285714,0,16,
Tuolumne,2017,23,,,1,,1,24,,0,103,7.458333333,0,23,
Tuolumne,2018,17,,,1,0,,,2,0,14,1.529411765,0,16,
Tuolumne,2019,31,,,1,,1,32,,0,156,10.1875,0,27,
Ventura,2015,372,,50,,50,,47,,0,328,14.33253012,3,323,
Ventura,2016,323,,54,,40,,385,,0,346,15.83597884,3,302,
Ventura,2017,324,,51,,39,,357,,0,345,16.83190883,2,279,
Ventura,2018,272,,34,,27,,292,,0,280,13.29513889,2,233,
Ventura,2019,213,,38,,39,,246,,0,341,19.32653061,3,218,
Very Large Counties (LA),2015,4686,,1421,,1060,,757,,0,365,20.41989479,4,4819,
Very Large Counties (LA),2016,5110,,780,,659,,5978,,0,361,12.47959184,1,4540,
Very Large Counties (LA),2017,5827,,830,,625,,6608,,0,365,11.89514891,1,5090,
Very Large Counties (LA),2018,5274,,812,,574,,5947,,0,364,12.47951029,1,5013,
Very Large Counties (LA),2019,5404,,517,,324,,5652,,0,354,7.573352232,0,4695,
Yolo,2015,43,,13,,19,,,1,0,340,31.23809524,7,51,
Yolo,2016,59,,12,,26,,83,,0,315,33.32467532,5,72,
Yolo,2017,80,,30,,16,,113,,0,350,23.38392857,6,88,
Yolo,2018,86,,24,,32,,114,,0,344,29.15454545,7,107,
Yolo,2019,87,,21,,,1,,2,0,221,13.39784946,4,90,
Yuba,2015,37,,,1,,1,,1,0,222,12.38636364,0.5,34,
Yuba,2016,30,,,1,,1,28,,0,167,9.178571429,1,28,
Yuba,2017,58,,12,,0,,66,,0,30,4.196969697,1,47,
Yuba,2018,51,,18,,,1,,2,0,119,11.84722222,3,56,
Yuba,2019,61,,,1,,1,61,,0,170,9.606557377,4,51,
